source,target,tgt_lng
vault,仓库,zh-CN
container,容器,zh-CN
router,路由器,zh-CN
unloader,装卸器,zh-CN
distributor,分配器,zh-CN
overflow gate,流溢门,zh-CN
sorter,分类器,zh-CN
bridge conveyor,传送带桥,zh-CN
junction,交叉器,zh-CN
pyratite,硫化物,zh-CN
blast compound,爆炸混合物,zh-CN
scrap,废料,zh-CN
spore pod,孢子夹,zh-CN
plastanium,塑钢,zh-CN
surge alloy,巨浪合金,zh-CN
dagger,尖刀,zh-CN
mace,战锤,zh-CN
fortress,堡垒,zh-CN
nova,新星,zh-CN
pulsar,恒星,zh-CN
quasar,耀星,zh-CN
crawler,爬虫,zh-CN
atrax,毒蛛,zh-CN
spiroct,血蛭,zh-CN
arkyid,毒蛊,zh-CN
toxopid,天蝎,zh-CN
flare,星辉,zh-CN
horizon,天垠,zh-CN
zenith,苍穹,zh-CN
antumbra,月影,zh-CN
eclipse,日蚀,zh-CN
mono,独影,zh-CN
poly,幻型,zh-CN
mega,巨像,zh-CN
quad,雷霆,zh-CN
oct,要塞,zh-CN
risso,梭鱼,zh-CN
minke,飞鲨,zh-CN
bryde,戟鲸,zh-CN
sei,蛟龙,zh-CN
omura,海神,zh-CN
retusa,潜螺,zh-CN
oxynoe,电鳗,zh-CN
cyerce,江豚,zh-CN
aegires,玄武,zh-CN
navanax,龙王,zh-CN
alpha,阿尔法,zh-CN
beta,贝塔,zh-CN
gamma,伽马,zh-CN
scepter,权杖,zh-CN
reign,王座,zh-CN
vela,灾星,zh-CN
corvus,死星,zh-CN
stell,围护,zh-CN
locus,循迹,zh-CN
precept,准绳,zh-CN
vanquish,征服,zh-CN
conquer,领主,zh-CN
merui,天守,zh-CN
cleroi,天赐,zh-CN
anthicus,天灾,zh-CN
tecta,天理,zh-CN
collaris,天帝,zh-CN
elude,挣脱,zh-CN
avert,遮蔽,zh-CN
obviate,消散,zh-CN
quell,遏止,zh-CN
disrupt,悲怆,zh-CN
evoke,苏醒,zh-CN
incite,策动,zh-CN
emanate,发散,zh-CN
manifold,货运无人机,zh-CN
assembly drone,装配无人机,zh-CN
cryofluid,冷冻液,zh-CN
slag,矿渣,zh-CN
logic processor,逻辑处理器,zh-CN
